2,5,Jerusalem District,02/07/2022,0.83,1,218
8,49,Judea and Samaria District,02/07/2022,3.93,1,1029
6,17,The Haifa District,03/07/2022,4.93,2,1145
10,40,The Northern District,04/07/2022,4.57,1,1195
2,4,The Haifa District,05/07/2022,3.05,1,798
8,49,Judea and Samaria District,06/07/2022,5.55,1,1452
4,52,The Central District,06/07/2022,1.9,2,441
4,52,The Central District,08/07/2022,7.13,2,1655
8,49,Judea and Samaria District,11/07/2022,1.63,1,427
4,12,The Central District,12/07/2022,9.58,2,2223
2,5,Jerusalem District,14/07/2022,5.6,1,1465
4,11,The Northern District,14/07/2022,6.77,2,1570
1,1,Judea and Samaria District,14/07/2022,3.05,1,798
7,19,The Central District,14/07/2022,3.05,2,708
8,49,Judea and Samaria District,16/07/2022,2.1,1,549
6,17,The Haifa District,16/07/2022,3.77,2,874
2,59,The Central District,17/07/2022,3.93,1,1029
5,13,The Haifa District,18/07/2022,5.6,1,1465
9,58,Judea and Samaria District,21/07/2022,10.35,2,2401
5,13,The Haifa District,21/07/2022,1,1,262
9,27,Jerusalem District,22/07/2022,3.68,2,855
9,58,Judea and Samaria District,22/07/2022,6.75,2,1566
9,58,Judea and Samaria District,30/07/2022,2.65,2,615
9,27,Jerusalem District,01/08/2022,3.95,2,916
3,47,The Haifa District,02/08/2022,6.75,2,1566
9,25,The Central District,07/08/2022,5.48,2,1272
8,22,The Northern District,07/08/2022,0.7,1,183
5,32,The Haifa District,08/08/2022,5.35,1,1400
6,17,The Haifa District,08/08/2022,1.25,2,290
5,32,The Haifa District,10/08/2022,2.52,1,658
7,46,The Haifa District,11/08/2022,5.05,2,1172
9,44,The Haifa District,13/08/2022,2.65,2,615
6,18,The Haifa District,15/08/2022,3.42,2,793
7,46,The Haifa District,18/08/2022,5.02,2,1164
5,32,The Haifa District,21/08/2022,7.53,1,1971
7,46,The Haifa District,21/08/2022,5.47,2,1268
9,25,The Central District,21/08/2022,5.13,2,1191
1,1,Judea and Samaria District,21/08/2022,3.48,1,911
8,24,Jerusalem District,23/08/2022,6.32,1,1652
9,26,South District,23/08/2022,0.83,2,193
7,46,The Haifa District,24/08/2022,0.47,2,108
9,26,South District,24/08/2022,2.63,2,611
2,4,The Haifa District,24/08/2022,2.1,1,549
10,40,The Northern District,24/08/2022,2.88,1,754
9,53,The Central District,26/08/2022,5.17,2,1199
5,32,The Haifa District,27/08/2022,6.9,1,1805
6,18,The Haifa District,28/08/2022,7.03,2,1632
5,32,The Haifa District,28/08/2022,4.88,1,1277
6,16,The Central District,29/08/2022,7.22,2,1674
7,46,The Haifa District,29/08/2022,2.62,2,607
2,4,The Haifa District,29/08/2022,2.7,1,706
4,11,The Northern District,29/08/2022,4.58,2,1063
6,17,The Haifa District,30/08/2022,2.37,2,549
5,35,The Northern District,09/09/2022,5.93,1,1552
6,18,The Haifa District,09/09/2022,3.85,2,893
5,37,Jerusalem District,10/09/2022,1.5,1,392
1,56,Tel-Aviv District,10/09/2022,0.78,1,205
4,11,The Northern District,11/09/2022,3.83,2,889
1,56,Tel-Aviv District,14/09/2022,2.32,1,606
6,18,The Haifa District,16/09/2022,3.88,2,901
3,41,Tel-Aviv District,16/09/2022,4.35,2,1009
10,40,The Northern District,19/09/2022,5.45,1,1426
1,56,Tel-Aviv District,21/09/2022,9.85,1,2577
9,44,The Haifa District,22/09/2022,8.02,2,1860
8,49,Judea and Samaria District,25/09/2022,7.93,1,2075
7,36,Judea and Samaria District,26/09/2022,8.22,2,1906
7,36,Judea and Samaria District,26/09/2022,1.57,2,363
1,56,Tel-Aviv District,28/09/2022,3.95,1,1033
1,56,Tel-Aviv District,30/09/2022,2.47,1,645
