3,50,South District,01/03/2023,9.43,2,2189
2,5,Jerusalem District,06/03/2023,8.45,1,2211
4,33,Jerusalem District,07/03/2023,5.22,2,1210
4,33,Jerusalem District,07/03/2023,2.77,2,642
4,33,Jerusalem District,08/03/2023,4.53,2,1052
8,48,The Northern District,09/03/2023,4.42,1,1155
8,51,Tel-Aviv District,11/03/2023,1.23,1,323
10,29,The Haifa District,12/03/2023,8.3,1,2171
4,33,Jerusalem District,15/03/2023,0.25,2,58
6,57,Judea and Samaria District,15/03/2023,4.8,2,1114
4,33,Jerusalem District,17/03/2023,5.87,2,1361
4,33,Jerusalem District,20/03/2023,1.62,2,375
6,57,Judea and Samaria District,23/03/2023,4.42,2,1025
10,29,The Haifa District,24/03/2023,0.85,1,222
7,21,The Haifa District,25/03/2023,3.23,2,750
4,33,Jerusalem District,26/03/2023,0.57,2,131
7,21,The Haifa District,27/03/2023,0.25,2,58
9,44,The Haifa District,27/03/2023,2.45,2,568
4,33,Jerusalem District,28/03/2023,1.17,2,271
7,46,The Haifa District,06/04/2023,5.6,2,1299
5,37,Jerusalem District,10/04/2023,5.05,1,1321
10,29,The Haifa District,13/04/2023,10.33,1,2703
10,30,The Northern District,16/04/2023,5.88,1,1539
7,21,The Haifa District,25/04/2023,3.87,2,897
3,47,The Haifa District,25/04/2023,2.62,2,607
9,25,The Central District,26/04/2023,5,2,1160
1,56,Tel-Aviv District,28/04/2023,4.37,1,1142
8,49,Judea and Samaria District,01/05/2023,2.08,1,545
3,9,The Haifa District,02/05/2023,4.35,2,1009
9,25,The Central District,02/05/2023,4.42,2,1025
9,44,The Haifa District,02/05/2023,3.78,2,878
3,47,The Haifa District,02/05/2023,0.47,2,108
8,49,Judea and Samaria District,02/05/2023,4.78,1,1251
7,21,The Haifa District,03/05/2023,3.37,2,781
9,25,The Central District,03/05/2023,2.4,2,557
2,45,The Haifa District,03/05/2023,2.95,1,772
7,46,The Haifa District,03/05/2023,2.93,2,681
8,49,Judea and Samaria District,03/05/2023,4.43,1,1160
9,26,South District,04/05/2023,7.98,2,1852
4,12,The Central District,07/05/2023,0.37,2,85
9,25,The Central District,07/05/2023,2.97,2,688
5,37,Jerusalem District,07/05/2023,6.32,1,1652
3,47,The Haifa District,07/05/2023,3.43,2,797
1,1,Judea and Samaria District,08/05/2023,4.32,1,1129
3,7,Jerusalem District,08/05/2023,7.62,2,1767
9,25,The Central District,08/05/2023,1.87,2,433
4,33,Jerusalem District,08/05/2023,6.65,2,1543
8,49,Judea and Samaria District,08/05/2023,1.25,1,327
6,18,The Haifa District,10/05/2023,0.68,2,159
8,24,Jerusalem District,10/05/2023,9.85,1,2577
10,30,The Northern District,10/05/2023,1.92,1,501
4,33,Jerusalem District,12/05/2023,6.18,2,1435
8,49,Judea and Samaria District,12/05/2023,0.08,1,22
7,21,The Haifa District,13/05/2023,3.42,2,793
5,37,Jerusalem District,13/05/2023,8.23,1,2154
2,45,The Haifa District,13/05/2023,0.4,1,105
2,45,The Haifa District,13/05/2023,5.35,1,1400
4,12,The Central District,14/05/2023,3.42,2,793
5,31,The Haifa District,14/05/2023,0.25,1,65
9,44,The Haifa District,14/05/2023,5.05,2,1172
3,50,South District,14/05/2023,6.93,2,1609
8,24,Jerusalem District,15/05/2023,0.78,1,205
9,27,Jerusalem District,15/05/2023,5.88,2,1365
3,50,South District,16/05/2023,2.9,2,673
9,58,Judea and Samaria District,16/05/2023,9.47,2,2196
6,38,Tel-Aviv District,17/05/2023,4.57,2,1059
9,58,Judea and Samaria District,17/05/2023,2.08,2,483
10,29,The Haifa District,19/05/2023,6.23,1,1631
4,33,Jerusalem District,19/05/2023,1.58,2,367
